loop20_2.log - test_y,loop15_2.log - test_y,loop10.log - test_y,loop5.log - test_y,
0.156249970198,0.236499994993,0.236499980092,0.277500003576,
0.140249982476,0.172250017524,0.130750000477,0.188750013709,
0.129999995232,0.134000003338,0.109749995172,0.155499979854,
0.121500000358,0.0982500016689,0.113000005484,0.131499990821,
0.114500023425,0.0852499902248,0.102749988437,0.143250018358,
0.107249997556,0.0790000036359,0.103999994695,0.120749995112,
0.100499995053,0.0769999921322,0.097999997437,0.121500007808,
0.0895000100136,0.0740000084043,0.097000002861,0.115250006318,
0.0820000097156,0.0722499936819,0.0982499942183,0.114500008523,
0.0739999935031,0.0722500085831,0.0967499911785,0.114749982953,
0.0712499916553,0.499249994755,0.089500002563,0.105250000954,
0.0689999908209,0.0762500092387,0.0862499922514,0.105000004172,
0.0639999955893,0.0724999979138,0.0837500020862,0.102999992669,
0.0624999925494,0.0704999938607,0.0815000161529,0.101499997079,
0.0614999942482,0.0689999908209,0.0775000080466,0.101250000298,
0.0607499927282,0.0684999972582,0.10000000149,0.0997500047088,
0.0587499886751,0.0675000026822,0.0860000029206,0.0982499942183,
0.0584999881685,0.0680000036955,0.0824999958277,0.0972499847412,
0.0589999854565,0.0672500059009,0.0812499970198,0.0967499837279,
0.0584999844432,0.0670000016689,0.0799999982119,0.0962499901652,
0.0574999861419,0.0670000091195,0.0787499919534,0.0949999839067,
0.0567499883473,0.0667500048876,0.0782499983907,0.0947499871254,
0.0564999915659,0.0662500038743,0.0785000100732,0.0947500020266,
0.0564999952912,0.0659999996424,0.0777499973774,0.094749994576,
0.0562499985099,0.0662499964237,0.0780000016093,0.094499990344,
0.0562499985099,0.0662499964237,0.0779999941587,0.09375,
0.0560000017285,0.0662499964237,0.0774999931455,0.092750005424,
0.054999999702,0.0665000006557,0.0774999931455,0.0930000022054,
0.0542499981821,0.0662499964237,0.0772499963641,0.092750005424,
0.0542499981821,0.0652500018477,0.0767499953508,0.0940000042319,
0.0542499981821,0.0655000060797,0.0757499933243,0.0942499935627,
0.0539999976754,0.065750002861,0.0757499933243,0.0947499871254,
0.0539999976754,0.0654999986291,0.075249992311,0.0942499935627,
0.0537499971688,0.0650000050664,0.0747499912977,0.0942499935627,
0.0534999966621,0.0644999966025,0.0739999935031,0.0927499905229,
0.0534999966621,0.0642499998212,0.0739999935031,0.0924999937415,
0.0532499961555,0.0642499998212,0.074249997735,0.0927499905229,
0.0537499971688,0.0639999955893,0.0747499987483,0.0924999862909,
0.0537499971688,0.0639999955893,0.0744999945164,0.092249982059,
0.0537499971688,0.0639999955893,0.0739999935031,0.0919999778271,
0.0537499971688,0.0639999955893,0.0739999935031,0.0914999842644,
0.0537499971688,0.0642499998212,0.0737499967217,0.091499991715,
0.0534999966621,0.0640000030398,0.0737499967217,0.091499991715,
0.0534999966621,0.0639999955893,0.0734999924898,0.0912499949336,
0.0534999966621,0.0642499998212,0.0734999924898,0.0909999981523,
