loop20.log - test_y,loop15.log - test_y,loop10.log - test_y,loop5.log - test_y,
0.150749996305,0.288999944925,0.220000043511,0.180500000715,
0.138750001788,0.175500020385,0.131500005722,0.23924998939,
0.127750009298,0.164250001311,0.110499992967,0.17499999702,
0.116999991238,0.111249998212,0.103500001132,0.131500005722,
0.112999990582,0.100499995053,0.0955000072718,0.164000019431,
0.110749989748,0.0937499925494,0.0932500064373,0.14549998939,
0.111250005662,0.0874999910593,0.0897499993443,0.117499984801,
0.10925000906,0.0835000053048,0.0862500071526,0.11400000006,
0.106500007212,0.0797499865294,0.083749987185,0.107250012457,
0.104249998927,0.0767499804497,0.0797500014305,0.106999993324,
0.0997499898076,0.0734999999404,0.0785000100732,0.103999994695,
0.0952500030398,0.0724999904633,0.0765000060201,0.103500001132,
0.0922499969602,0.0689999982715,0.0755000039935,0.10474999994,
0.0885000005364,0.0684999972582,0.0742500051856,0.103249996901,
0.087249994278,0.0667499899864,0.0742499902844,0.101750008762,
0.0857499912381,0.0664999857545,0.0759999901056,0.0989999994636,
0.0852499902248,0.0657499879599,0.0764999836683,0.097000002861,
0.082999996841,0.0654999911785,0.075249992311,0.0952499955893,
0.0822500064969,0.0649999901652,0.0757499933243,0.0947500020266,
0.0825000032783,0.0647499933839,0.0759999901056,0.0947500020266,
0.082000002265,0.0649999901652,0.0899999886751,0.0942500010133,
0.0819999948144,0.0657499954104,0.0785000026226,0.0942500010133,
0.081749998033,0.0647499933839,0.0767500028014,0.0935000032187,
0.080499984324,0.0657499879599,0.0764999911189,0.0925000011921,
0.079499989748,0.0664999857545,0.0757499933243,0.0917500033975,
0.0779999941587,0.067499987781,0.0749999880791,0.0920000076294,
0.0752499997616,0.0669999867678,0.0754999890924,0.0922499895096,
0.0729999989271,0.0674999803305,0.0747499912977,0.0907499939203,
0.0699999928474,0.0684999898076,0.0737499892712,0.0900000035763,
0.0684999898076,0.0692499876022,0.0739999935031,0.0902500003576,
0.0679999962449,0.0684999898076,0.0739999860525,0.0902500078082,
0.0659999921918,0.0689999908209,0.0737499892712,0.0912500023842,
0.0652499869466,0.0694999918342,0.0742499902844,0.0914999991655,
0.0637499913573,0.0697499886155,0.0737499967217,0.091499991715,
0.0637499913573,0.0697499886155,0.0739999935031,0.092249982059,
